21D0	'Acqua', 'Carro dell'acqua' (Ripa)
71E117313	celebrazione della prima Pasqua
45B5	celebrazioni e festeggiamenti militari
25F75	celenterati
73D13	cena in Betania (in casa di Simone il lebbroso) (Mt. 26, 6-13; Mc. 14, 3-9; Gv. 12, 1-11)
73C7262	cena in casa di Simone il Fariseo (Lc. 7, 36-50)
92L7	centauri
92L71	centauri (in generale)
49D36	cerchio (~ planimetria, geometria)
47I111	cereali, granaglie, grano (piante graminacee coltivate per alimentazione, p.es.: frumento, riso, segale, avena, mais, grano saraceno, miglio)
42E2	cerimoniale funebre
42D2	cerimonie nuziali
25H153	cespugli, arbusti ~ foresta
48C7324	cetra, mandolino, chitarra, balalaika
11G1911	cherubini, ovvero teste di bambini con le ali
71V1	chiamata e disobbedienza di Giona
41A3281	chiave
11P3161	chierici regolari, p.es.: Gesuiti, Redentoristi
11Q712	chiesa (esterno)
11QQ712	chiesa (esterno) - QQ - piccola chiesa, cappella
41A622	chiosco, padiglione (per il tè), (olandese: 'theekoepel')
11P31514	chiostro ~ monatero
71E3243	chiunque fosse stato morso guarisce guardando il serpente di bronzo; il serpente (o drago) è di solito rappresentato su una croce a tau o su una colonna
43A36	circo
31A2261	circolazione del sangue
73B3	circoncisione di Gesù ad opera del sacerdote nel tempio (Lc. 2, 21)
46A13	cittadini
46A17	classe operaia, lavoratori
41D2668	cofanetto per gioielli
43B144	cogliere fiori
41D2661	collana
56EE	collera e mansuetudine (concetti opposti)
34B231	colombe, piccioni
25F38	colombiformi e rallidi
48C161	colonna, pilastro ~ architettura
22C4	colori, pigmenti, vernici
47I12	coltivazione del terreno
47I13	coltivazione ~ agricoltura
33B3	combattere
43C39	combattimento (sport)
45H33	combattimento corpo a corpo (~ una battaglia)
71H144	combattimento tra David e Golia
48A9814	combinazione di linee rette e curve ~ decorazioni
49L16	combinazioni di lettere come lettera-parola (runa o ideogramma con significato di lettera e insieme di parola), anagramma, quadrato di lettere, monogramma, ecc.
48C8543	commedia dell'arte
71I4	commercio e costruzioni di Salomone
92C392	compagne, ninfe di Diana; 'Ninfe di Diana' (Ripa)
92D191	compagni di Cupido
49D5111	compasso
73C134	compianto e sepoltura di Giovanni Battista
73D72	compianto sul Cristo morto
45B7	compimento del servizio
57A	comportamento buono e cattivo, qualità morali
57AA	comportamento buono e cattivo, qualità morali (concetti opposti)
51AA6	composizione
48A987	composizioni decorative usate frequentemente
45E	comunicazioni e trasporti
73D245	comunione degli apostoli: Cristo distribuisce il pane (ostia) e/o il vino agli apostoli
73F1	comunità dei discepoli (pregano, guariscono, ecc. in generale) (At. 2, 42-47; 4, 32 - 5, 11)
51	concetti generali
11D5	concetti mistici ~ Cristo
48A9853	conchiglia ~ elementi decorativi
48AA9853	conchiglia ~ elementi decorativi - AA - stilizzata
93A2	concili degli dei (in generale)
54A	condizione, modo di essere durante l'azione
47I228	condurre il bestiame; mandriano
11Q7323	confessione; 'Confessione Sacramentale' (Ripa) ~ il terzo dei sette sacramenti
71F34	conflitto tra Sansone e i Filistei
49BB44282	confraternita (studenti) - BB - studentessa
71H84	confronto tra David e Assalonne
52A5	conoscenza; 'Cognitione', 'Cognitione delle cose' (Ripa)
11Q7561	consacrazione di una persona ~ chiesa
11Q756	consacrazione ~ religione cristiana
45A23	conseguenze della pace
11Q6	consuetudini pie
46A14	contadini
46AA14	contadini - AA - moglie del fattore
41A7751	contenitore di altro materiale vegetale: cesto
41A773	contenitore di ceramica: vaso, brocca, pentola
41A775	contenitore di legno: botte, barile
41A7711	contenitore di metallo prezioso
41A771	contenitore di metallo: secchio, lattina, scatola di metallo, latta, ecc.
41A772	contenitore di pietra: vaso di pietra
41A774	contenitore di vetro: bottiglia, brocca, vaso
41A77	contenitori
73F21536	contesa tra Pietro e Simon Mago al Foro (la disputa dinanzi a Nerone; può comparire anche Paolo)
46A2	contrasti sociali
46A21	contrasto tra ricco e povero
33A35	conversazione, dialogo; 'conversation piece'
11Q1	conversione e fede
41C345	coppa, ciotola
33C23	coppia di amanti
41D22	copricapi e abbigliamento per la parte superiore del corpo
41D221	copricapo
31A25313	coprire la testa, tirare un tessuto sul volto
54A8	coraggio, audacia, valore, virilità; 'Ardire magnanimo et generoso', 'Gagliardezza, 'Valore', 'Virtù heroica', 'Virtù dell'animo e del corpo' (Ripa)
48C7354	cornamusa, musette
48C5156	cornice di dipinto, ecc.
48C7352	corno, tromba, cornetta, trombone, tuba
44B191	corona (simbolo di sovranità)
46A121	corona gentilizia
25G4111	corona, ghirlanda
48C842	corpo di ballo; ballerini sulla scena
41A211	corridoio
25H21	corso d'acqua
33C31	corteggiamento unilaterale
33C3	corteggiamento unilaterale; ricerca; difficile scelta
33C21	corteggiare
42E22	corteo, processione funebre
41A51	cortile
41A511	cortile interno di un palazzo
57A3	coscienza; 'Coscienza' (Ripa)
25H13	costa
25H131	costa rocciosa
47G3	costruzione delle strutture fuori terra (attività edilizie)
11Q711	costruzione di una chiesa
41A62	costruzioni e architettura da giardino
48A72	costruzioni finalizzate a rappresentazioni teatrali
48C853	costume di scena
48CC853	costume di scena - CC - femminile
41D3	costume popolare, costume regionale
41D2423	costume storico
41D24231	costumi da parata
47I1421	covone
58	creazione
71A25	creazione degli animali
71A3	creazione dell'uomo; il Giardino di Eden
71A34	creazione di Eva
58A	creazione e distruzione
41A731	credenza, armadio
11Q7322	cresima ~ il secondo dei sette sacramenti
44G5	criminali
11Q71423	croce d'altare, crocifisso
73F2535	crocifissione di Andrea: è spogliato e legato alla croce
73D6	crocifissione di Cristo: morte di Cristo sulla croce; Golgota (Mt. 27, 45-58; Mc. 15, 33-45; Lc. 23, 44-52; Gv. 19, 25-38)
11Q651	crocifisso ~ devozione privata
25F716	crostacei
41C21	cucina
41C2	cucina e cantina
41D441	cucire
41D44	cucire in casa; riparare abiti
42E4	culto dei morti
92L179	culto di Bacco
11Q	culto di Dio
12E21	culto e devozione ~ religione greca
11Q7	culto pubblico e liturgia delle Chiese cristiane
48C1623	cupola ~ architettura
31A5	cura del corpo, igiene
31AA5	cura del corpo, igiene - AA - figura umana femminile
41D4	cura, lavaggio e stiratura degli abiti; cucire in casa
49G22	curare, accudire i malati
73D4	dal palazzo di Pilato al Golgota: la processione verso il Calvario (Mt. 27, 31-33; Mc. 15, 20-22, Lc. 23, 26-33; Gv. 19, 17)
73E	dalla Resurrezione alla Pentecoste (Mt. 28; Mc. 16; Lc. 24; Gv. 20-21; At. 1, 3-11); morte di Maria e Giuseppe
73D7	dalla deposizione di Cristo alla sepoltura (Mt. 27, 59-66; Mc. 15,46-47; Lc. 23, 53-56; Gv. 19, 39-42)
43C9	danza
48C84	danza, balletto, rappresentazione coreografica
55C2	dare
73C1333	decapitazione di Giovanni Battista
49M4	decorazione di materiale a stampa
48C353	decorazione piana ~ arti applicate
48A98	decorazioni
41A4	decorazioni (interno della casa)
48C166	decorazioni delle superfici (particolari architettonici)
25I15	decorazioni monumentali (in città)
48A9821	decorazioni, elementi ornamentali ~ parti umane
48AA9821	decorazioni, elementi ornamentali ~ parti umane - AA - stilizzata
73A34	dedicazione (o presentazione) di Maria al Tempio: Maria sale i gradini ed è ricevuta dal sommo sacerdote
96	dei e leggende romane
92	dei ~ mitologia classica
48A9844	delfino ~ elementi decorativi
46B31	denaro
73D71	deposizione dalla croce: Cristo viene deposto dalla croce, in genere da Nicodemo e da Giuseppe di Arimatea, che sono rappresentati in piedi sulla scala (entrambe le braccia di Cristo sono staccate dalla croce)
73D353	derisione di Cristo, che può apparire bendato
25K16	deserto
56F	desiderio e avversione
11F9	devozione a Maria Vergine
11D42	devozione ~ Cristo
11Q0	devozione, pietà; 'Divotione' (Ripa)
11P3122	diacono (cattolico romano)
11K2	diavoli sotto forma di animali (fantastici)
11K1	diavolo in sembianze umane
11K	diavolo/i e demoni
23I43	dicembre; 'Decembre' (Ripa)
11P5	diffusione del Vangelo; missione
25H222	diga, argine (nel canale)
44B4	diplomazia, diplomatico
44G3	diritto penale; condanna, punizione, pena
45B4	disciplina
49K	discipline storiche; filologia
57A641	discrezione, modestia; 'Discretione', 'Modestia' (Ripa)
48C52	disegno
49D51	disegno (matematica)
48C142	disegno o modello architettonico
49D5	disegno, misurazione, calcolo
48C524	disegno, schizzo
44F1	disordini urbani, tumulti, sommossa, rivolta
56DD11	disperazione; 'Disperatione' (Ripa)
45C7	disposizioni igieniche e mediche (militari)
73B93	disputa di Gesù con i dottori nel Tempio; egli enumera i suoi argomenti contandoli sulle dita
31A2364	distesa su un lato, con la parte superiore del corpo sollevata e il braccio poggiato
48A9	distinzioni formali e stilistiche nell'arte
31A464	disturbi emotivi, alienazione mentale, pazzia
41A722	divano, sofa
46A125	divenire cavaliere, creare cavaliere
73A311	diverse scene relative al parto ~ nascita di Maria
92N	divinità degli inferi
92E5	divinità dei venti
92M	divinità della fertilità ~ agricoltura
92L	divinità della terra e della fertilità ~ vita sui monti e nei boschi
92H	divinità delle acque: Nettuno e il suo ambiente
92I	divinità delle acque: dinastia arcaica (prima serie); progenie di Ponto e mostri marini
92K	divinità delle acque: dinastia arcaica (seconda serie): figli di Oceano, divinità dei fiumi e divinità minori delle acque
96A2	divinità femminili romane
92K1	divinità fluviali
92B	divinità maggiori maschili del cielo, e loro seguito
96A1	divinità maschili romane
92D	divinità minori del cielo ~ attività sussidiarie, di supporto e di servizio
92G	divinità minori del cielo ~ destino, fato, avversità
92E	divinità minori del cielo ~ fenomeni dell'aria e del cielo
92F	divinità minori del cielo ~ nascita e salute
91A1	divinità primigenie, divinità degli elementi ~ mitologia classica
96A4	divinità romane domestiche, spiriti tutelari, e spiriti dei morti
96A	divinità romane, e divinità straniere incluse nel Pantheon classico
44A11	divisa, emblema (come simbolo dello stato, ecc., non di persona o famiglia)
11U22	divisione dei beati dai dannati ~ Giudizio Universale
45D2	divisione delle forze armate
23T2	divisione moderna di epoche storiche
46A11	divisioni in classi (~ società)
56BB1	dolore, dispiacere, tristezza; 'Dolore', 'Dolore di Zeusi' (Ripa)
31D15	donna adulta
43C912	donna che balla da sola
41D132	donna elegante, alla mode, 'belle'
45I	dopo la battaglia
42D4	dopo lamorte di uno della coppia sposata
31B1	dormire; incoscienza
31BB1	dormire; incoscienza - BB - dormire all'aperto
41A391	dotazione d'acqua e acque di scarico; tubazioni (di casa o edificio)
11L	dottrina cristiana
12A75	doveri personali ~ cultura ebraica
25FF411	drago
25FF422	drago (grande serpente favoloso, talvolta con ali e zampe)
48C86	dramma musicale, rappresentazione di un dramma musicale
41D27	drappeggio, vesti drappegiate, 'Gewandgebung'
33B2	duellare
45H341	duello in alternativa a una battaglia
41A5	edifici secondari e dipendenze; recinto; cancello
41A16	edificio rurale, p.es. casa di campagna, villa, villino
41A13	edificio, p.es. edificio pubblico, grande magazzino
48C741	edizione a stampa della partitura musicale
73A33	educazione di Maria
49B	educazione scolastica, insegnamento
49	educazione, scienza ed istruzione
42E351	effigie, 'gisant' (figura-ritratto sulla bara chiusa o nel 'castrum doloris'), transi
48A982	elementi decorativi antropomorfi
48AA982	elementi decorativi antropomorfi - AA - stilizzata
48A9856	elementi decorativi derivati da dettagli architettonici
48A984	elementi decorativi derivati da forme animali
48A983	elementi decorativi derivati da forme vegetali
48AA983	elementi decorativi derivati da forme vegetali - AA - stilizzata
48A985	elementi decorativi derivati da oggetti
48AA985	elementi decorativi derivati da oggetti - AA - stilizzata
48A986	elementi decorativi di fantasia
48A9863	elementi decorativi rocaille
48A9846	elementi decorativi ~ animali ibridi
48A9823	elementi decorativi ~ esseri ibridi; unione di forme umane e animali
48C164	elementi struttirali architettonici ~ figura umana
48A98132	ellisse e forme derivate dall'ellisse ~ decorazioni
45C221	elmo
56	emozione
73C7213	emulazione tra gli apostoli (e discepoli)
46C22	entrare in porto
73E13	episodi immediatamente successivi alla Resurrezione
73D2	episodi relativi all'Ultima Cena
73D77	episodi successivi alla sepoltura di Cristo
61B12	episodi ~ personaggi storici anonimi
23T	epoche storiche
45C	equipaggiamento e rifornimento (militare)
46C27	equipaggio e passeggeri
46C271	equipaggio ~ imbarcazione
11Q33	eremitaggio nel deserto ~ vita ascetica
73D55	erezione della croce: Cristo viene inchiodato alla croce, che giace al suolo
73D56	erezione della sola croce (senza Cristo)
96C	eroi e personaggi maschili tratti dalle leggende sulle origini di Roma
96D	eroine e personaggi femminili tratti dalle leggende sulle origini di Roma
25C11	eruzione (di vulcano)
45D21	esercito
51AA	esistenza e modi di esistere (concetti opposti)
46C5141	essere accolti (all'arrivo, ~ viaggo)
3	essere umano, uomo in generale
31A444	esseri antropomorfi con parti di forma anormale
31AA444	esseri antropomorfi con parti di forma anormale - AA - figura umana femminile
31A44	esseri antropomorfici (leggendari o meno) con teste, membra o organi di numero abnorme, in posti anormali, o di forma anormale
31AA44	esseri antropomorfici (leggendari o meno) con teste, membra o organi di numero abnorme, in posti anormali, o di forma anormale - AA - figura umana femminile
31A458	esseri favolosi con ali
31AA458	esseri favolosi con ali - AA - figura umana femminile
23D43	estate, 'Aestas'; 'Estate' (Ripa)
48C1427	esterno ed interno combinati insieme ~ disegno o modello architettonico
48C1425	esterno ~ disegno o modello architettonico
48C1411	esterno ~ raffigurazione di un edificio
11Q7327	estrema unzione ~ l'ultimo dei sette sacramenti
11I4111	evangelisti ispirati, p.es. dallo Spirito Santo (come colomba), dalla mano di Dio, da Maria, dall'angelo
11I4	evangelisti, di norma con libri o cartigli (non in contesto biblico)
98A	eventi e situazioni dalla storia classica
61A	eventi e situazioni storiche
61	eventi e situazioni storiche; personaggi storici
47B111	fabbro
41A311	facciata, fronte, prospetto principale di casa o edificio
59B32	fama; 'Fama', 'Fama buona', 'Fama chiara' (Ripa)
44B151	famiglia del sovrano
44B15	famiglia del sovrano e corte
44BB15	famiglia del sovrano e corte - BB - governatrice, signora, sovrana
42	famiglia, discendenza
31A51	far toletta
46A212	fare elemosina o altro tipo di carità, p.es. distribuire cibo
33A3	fare visita; ricevere ospiti; compagnia scelta, raffinata
45C23	faretra
46C283	faro
46C2831	faro, battello-faro
46C51	fasi del viaggio
94L3	fatti e gesta principali di Ercole: le dodici fatiche
41A17	fattoria
25I3	fattoria o casa isolata in un paesaggio
23I12	febbraio; 'Febraro' (Ripa)
31A72	femmina; donna
31A721	femminilità
25H231	fenomeni connessi con il mare
43A346	fenomeni da baraccone
25C	fenomeni geologici
26	fenomeni meteorologici
22	fenomeni naturali
58A3	fertilità, produttività, fecondità; 'Fecondità' (Ripa)
73C611	festa di nozze a Cana (Gv. 2, 1-11)
42D25	festa di nozze, pranzo di nozze
12E2123	festa sacrificale ~ religione greca
43A	festeggiamenti
43A4	festeggiamenti pubblici
48A9875	festone, ghirlanda ~ composizioni decorative
41B121	fiamma
42D1	fidanzamento
42D	fidanzamento e matrimonio
56D2	fiducia, fede
91B13	figli dei Titani (Astreo, Pallante, Perse, Asteria, Latona, Atlante, Menezio)
44B1512	figli della famiglia reale
31A231	figura in piedi
31A11	figura in piedi (canone, proporzioni)
31AA11	figura in piedi (canone, proporzioni) - AA - figura umana femminile
31AA231	figura in piedi - AA - figura umana femminile
31A232	figura inclinata, che si poggia o sporge
31A233	figura inginocchiata (su un ginocchio)
31AA233	figura inginocchiata (su un ginocchio) - AA - figura umana femminile
31A2331	figura inginocchiata su ambedue le ginocchia
31AA2331	figura inginocchiata su ambedue le ginocchia - AA - figura umana femminile
31A12	figura nel cerchio o quadrato, gambe e braccia alzate o tese lateralmente
31A236	figura sdraiata (sulla schiena, supina)
31AA236	figura sdraiata (sulla schiena, supina) - AA - figura umana femminile
31A235	figura seduta
31AA235	figura seduta - AA - figura umana femminile
31A14	figura umana di proporzioni ideali, p.es. nudo accademico
31AA14	figura umana di proporzioni ideali, p.es. nudo accademico - AA - figura umana femminile
41D11	figurini di moda
47H31	filare (lavorazione dei filati)
49C2	filosofia
41A33	finestra
41AA33	finestra - AA - finestra finta
25G41	fiori
41A6711	fiori in vaso
25G411	fiori recisi; mazzo di fiori, fascio di fiori
48A9833	fiori ~ elementi decorativi
48AA9833	fiori ~ elementi decorativi - AA - stilizzata
24F	firmamento, cielo
25H213	fiume
48C7351	flauto, aulos, tibia
48A98331	fleur-de-lis, giglio ~ elementi decorativi
25D4	fluidi e gas estratti dalla terra
41B2	focolare e stufa
41B21	focolare, focolare centrale, camino
48A98311	fogliame ~ elementi decorativi
48AA98311	fogliame ~ elementi decorativi - AA - stilizzata
48A9831	fogliame, viticci, rami ~ elementi decorativi
48AA9831	fogliame, viticci, rami ~ elementi decorativi - AA - stilizzata
46A7	folla, ressa
25I11	fondazione di città
41A3915	fontana (in un interno)
41A651	fontana da giardino
25I151	fontana ornamentale
25H211	fonte, sorgente di un fiume o di un torrente
25H15	foresta, bosco
25HH15	foresta, bosco - HH - paesaggi ideali
25H1123	formazioni rocciose
48A9813	forme circolari e curve ~ decorazioni
48A9816	forme raggiate, forme a ruota ~ decorazioni
48A9834	forme vegetali non identificabili ~ elementi decorativi
44E4	fornitura di elettricità (~ servizi di pubblica utilità)
45K13	fortezza
45K12	fortificazioni permanenti (ingegneria militare)
45K14	fortificazioni urbane, città fortificata
45K1	fortificazioni, opere di ingegneria militare ~ un assedio
54F	fortuna e sfortuna
54A7	forza, potere; 'Fortezza', 'Fortezza d'Animo e di corpo', 'Fortezza del corpo congiunta con la generosità dell'animo', 'Fortezza e valore del corpo congiunto con la prudenza e virtù del animo', 'Forza' (Ripa)
46C12	forze umane ~ traffico e trasporto su terra
49M43	frontespizio
46C1463	frusta
25G21	frutti
48A9832	frutti e vegetali ~ elementi decorativi
48AA9832	frutti e vegetali ~ elementi decorativi - AA - stilizzata
47I4	frutticoltura
73B64	fuga in Egitto e miracoli occorsi durante il viaggio
43A49	funerali pubblici, di stato
11Q73	funzioni religiose ~ Chiese Cristiane
41B1	fuoco (aperto, libero, in generale)
21C	fuoco (uno dei quattro elementi)
41A2111	galleria (grande corridoio)
31A225	gambe
31A262	gambe in posizioni differenti tra loro
31AA262	gambe in posizioni differenti tra loro - AA - figura umana femminile
92B3412	gara tra Apollo e Marsia; le Muse fanno da giudici
92B3411	gara tra Apollo e Pan con Tmolo, divinità della montagna, in veste di giudice, ovvero il giudizio di Mida; Mida è spesso rappresentato con le orecchie d'asino
43C396	gare di combattimenti
92B341	gare musicali di Apollo
34B12	gatto
26D	gelo, tempo glaciale
42A26	gemelli
23O23	gemelli (segno zodiacale di maggio)
48C27	gemma
41C6	generi alimentari; natura morta con cibi
48C854	generi teatrali
55C21	generosità, liberalità; 'Generosità', 'Liberalità' (Ripa)
91A	genesi dell'universo ~ mitologia classica
42B	genitori con i propri figli
23I11	gennaio; 'Gennaro' (Ripa)
49D65	geometria descrittiva
12A52	gerarchia dei sacerdoti ~ religione ebraica
11P311	gerarchia della giurisdizione ~ Chiesa Cattolica Romana
25H1111	ghiacciaio
25I13	giardini pubblici, parco
41A6	giardino
41A636	giardino alla francese o giardino architettonico; giardino all'italiana
43C52	giochi con la scacchiera
43C5	giochi di calcolo e di fortuna, p.es.: giochi di carte, giochi d'azzardo, giochi di pazienza, ecc.
43C6	giochi di gruppo o in comitiva
43C7	giochi e divertimenti dei bambini
43C718	giochi in cui si dondola
43C7184	giochi in cui si trasportano bambini
43C63	giochi per tante persone con implicazioni erotiche, p.es. gara di baci
43C71	giochi senza giocattoli
56BB	gioia e dolore (concetti opposti)
23R1	giorno di ventiquattro ore, giorno naturale
23R	giorno e notte
31D12	giovane, adolescente
31D13	giovane, vergine, l'età più bella
57B	giudizi relativi al comportamento
23I23	giugno; 'Giugno' (Ripa)
44B1524	giullare, buffone di corte
59C	giustizia e ingiustizia
59C2	giustizia; 'Forza alla giustitia sottoposta', 'Giustitia', 'Giustitia retta', 'Giustitia rigorosa', 'Impietà e violenza soggetta alla giustitia' (Ripa)
71E127	gli Amaleciti vengono a combattere contro Israele (Es. 17, 8-16)
94A4	gli Argonauti nella Colchide
12A7	gli Ebrei, la vita degli Ebrei
92A	gli dei olimpici insieme; Giove, Giunone, Nettuno, Cerere, Apollo, Diana, Marte, Venere, Mercurio, Minerva, Vulcano, Vesta (o Bacco)
11I411	gli evangelisti in atto di scrivere
23S	gli imperi del mondo
73F21221	gli infermi sono condotti sulle strade, in modo che l'ombra di Pietro possa cadere su di loro
73D8	gli strumenti della Passione e le cinque piaghe
25A13	globo
11Q73243	glorificazione, trionfo dell'Eucaristia
43B14	godere della natura ~ piante, erbe e fiori
43B1	godere la natura
41D232	gonna
41C322	gotto, nappo, calice
44B1	governatore, signore, sovrano
44BB1	governatore, signore, sovrano - BB - governatrice, signora, sovrana
44B21	governo nazionale
44B	governo, lo Stato; 'Politica', 'Auttorità o Potestà' (Ripa
47I4222	grappolo d'uva
25FF231	grifone (leone/aquila); 'Griffo' (Ripa)
48A9872	grottesca ~ composizioni decorative
11HH0	group of female saints
25G11	gruppi di alberi
25G12	gruppi di arbusti
11I61	gruppi di personaggi del Vecchio Testamento
11I1	gruppi di profeti, di norma con libri o cartigli (Isaia, Geremia, Ezechiele, Daniele, Osea, Gioele, Amos, Obadiah, Giona, Michea, Naum (Nahum), Abacuc, Sofonia, Aggeo, Zaccaria, Malachia)
25F31	gruppi di uccelli
48C852	gruppo di attori, troupe; attori sulla scena
42B74	gruppo di famiglia, in particolare genitori con i figli
46C131617	gualdrappa, coperta
41A254	guardaroba
44B1527	guardia del corpo del sovrano
73C412	guarigione del cieco nato: Cristo tocca i suoi occhi con un 'unguento' di fango e saliva (Gv. 9)
73C451	guarigione del lebbroso, inginocchiato ai piedi di Cristo (Mt. 8, 1-4; Mc. 1, 40-45; Lc. 5, 12-16)
73F2121	guarigione del mendicante storpio alla porta Bella del tempio ad opera di Pietro e Giovanni (At. 3 - 4, 31)
73C464	guarigione dell'emorroissa: si inginocchia davanti a Cristo dopo aver toccato la sua tunica (Mt. 9, 20-22, 5, 25-34, Lc. 8, 43-48)
49G23	guarigione della persona malata
73C461	guarigione della suocera di Pietro (Mt.8, 14-15; Mc. 1, 29-31; Lc. 4, 38-39)
49G231	guarigione miracolosa
45A1	guerra
71L142	guerra contro i Moabiti, i Maoniti e gli Ammoniti
71E336	guerra degli Ebrei contro Madian
45A	guerra e pace
41A3611	guglia (di casa o edificio)
42Z11	harem
31A3	i (cinque) sensi
11Q75121	i (quindici) misteri del rosario
73C7222	i Farisei conducono davanti a Cristo una donna accusata di adulterio (Gv. 8, 2-11)
71H14431	i Filistei in fuga dopo la morte di Golia, inseguiti dagli Israeliti
91C2	i Giganti, (con serpenti al posto dei piedi), e la loro battaglia contro gli dei
94H21	i Troiani guardano con meraviglia il cavallo di legno
96B6	i Troiani raggiungono la foce del Tevere e sbarcano nel Lazio (En. VII-VIII)
92L1912	i baccanti
11S6	i beati in paradiso e le loro attività
11U23	i beati sono condotti in paradiso ~ Giudizio Universale
24	i cieli (corpi celesti)
11I3	i dodici apostoli (in gruppo), di norma con libri o cartigli (non in contesto biblico)
11I32	i dodici apostoli ~ i dodici profeti
23I	i dodici mesi (personificazioni); 'Mese in generale' (Ripa)
11I12	i dodici profeti minori (non in contesto biblico): Osea, Gioele, Amos, Abdiah, Giona, Michea, Naum (Nahum), Abacuc, Sofonia, Aggeo, Zaccaria, Malachia
71D192	i fratelli di Giuseppe partono per tornare a casa
71X	i libri lirici: Salmi e Cantico dei Cantici
71V134	i marinai, malvolentieri, gettano in mare il profeta Giona
94	i miti eroici greci (I)
95	i miti eroici greci (II)
11G1	i nove cori angelici, le gerarchie angeliche
71C	i patriarchi
46A15	i poveri
11I51	i quattro Padri (Dottori) della Chiesa latina insieme: Sant'Ambrogio (generalmente come vescovo), San Girolamo (generalmente come cardinale), Sant'Agostino (generalmente come vescovo), San Gregorio Magno (generalmente come papa)
21	i quattro elementi, e l'etere, il 'quinto' elemento
11I41	i quattro evangelisti insieme (come ritratti di autori)
11I43	i quattro evangelisti ~ altri temi
23S1	i quattro imperi del mondo (Babilonia, Persia, Grecia, Roma)
11I11	i quattro profeti maggiori (non in contesto biblico): Isaia, Geremia, Ezechiele, Daniele
11I41111	i quattro simboli degli evangelisti che li ispirano (o li assistono)
11I42	i quattro simboli degli evangelisti, '(Quattro) Esseri viventi dell'Apocalisse'
32A1	i quattro temperamenti; 'Complessione' (Ripa)
71A2	i sei giorni della creazione
31A7	i sessi (essere umano)
11G18	i sette Arcangeli
11N3	i sette Peccati Capitali (personificati)
73G32	i sette angeli con le trombe ~ Apocalisse di Giovanni
11E5	i sette doni dello Spirito Santo
11Q732	i sette sacramenti della Chiesa Cattolica Romana
71D115	i sogni di Giuseppe
73D351	i soldati flagellano Cristo, che appare in genere legato alla colonna (Mt. 27,26; Mc. 15,15; Gv. 19,1)
73D622	i soldati giocano ai dadi il possesso della tunica di Cristo ~ morte di Cristo sulla croce
73E16	i soldati terrorizzati e/o addormentati vicino alla tomba
92D17	iconografie particolari di Cupido
92D179	iconografie particolari di Cupido - venerazione, tributo di onori
92B37	iconografie particolari, aspetti allegorici di Apollo; Apollo come patrono
92L17	iconografie particolari, aspetti allegorici di Bacco; Bacco come patrono
92M17	iconografie particolari, aspetti allegorici di Cerere
92C37	iconografie particolari, aspetti allegorici di Diana; Diana come patrona
94L7	iconografie particolari, aspetti allegorici di Ercole; Ercole come patrono
92B17	iconografie particolari, aspetti allegorici di Giove; Giove come patrono
92C17	iconografie particolari, aspetti allegorici di Giunone; Giunone come patrona
92B57	iconografie particolari, aspetti allegorici di Mercurio; Mercurio come patrono
92C27	iconografie particolari, aspetti allegorici di Minerva; Minerva come patrona
92H17	iconografie particolari, aspetti allegorici di Nettuno
92L4217	iconografie particolari, aspetti allegorici di Sileno
92C47	iconografie particolari, aspetti allegorici di Venere
5	idee e concetti astratti
71B33	il Diluvio e la distruzione dell'umanità ~ storia di Noè (Gen. 7, 10 - 8, 17)
11D422	il Sacro Cuore
11D423	il Sacro Sangue
73D313	il bacio di Giuda: accompagnato da soldati con torce e lanterne bacia Cristo
73C1334	il carnefice consegna la testa a Salome
73C423	il centurione di Cafarnao, in ginocchio davanti a Cristo, gli chiede di guarire il suo servo (o suo figlio) paralitico (Mt. 8, 5-13; (Lc. 7, 1-10; Gv. 4, 46-54)
44C	il cittadino e i suoi diritti
71A354	il comandamento di prova: Dio avverte Adamo ed Eva di non mangiare frutti dall'albero della conoscenza del bene e del male
73E1211	il coperchio del sarcofago è aperto da un angelo ~ Resurrezione di Cristo
73D7211	il corpo di Cristo disteso al suolo
73D7213	il corpo di Cristo nel o sul sepolcro
73D7212	il corpo di Cristo sorretto
73D72121	il corpo di Cristo sorretto da Maria, alla presenza di altri personaggi
94F	il decimo anno della guerra di Troia (I parte); l'ira di Achille; dalla contesa per Briseide alla morte di Patroclo
94G	il decimo anno della guerra di Troia (II parte); Achille torna alla guerra; le sue ultime imprese e la morte
11A21	il divino, 'Divinità' (Ripa)
94F83	il dolore di Achille alla notizia della morte di Patroclo
73F223816	il figlio di Teofilo, re di Siria, è resuscitato da Pietro e Paolo
73C86461	il figliol prodigo si inginocchia davanti al padre che lo prende tra le braccia
73C8646	il figliol prodigo torna a casa, dove trova il padre ad attenderlo
24C2	il genere umano influenzato dai pianeti, inclusi il sole e la luna; 'Planetenkinder'
71H1	il giovane David alla corte di Saul
94C113	il giudizio di Paride (alla presenza di Mercurio)
94C1131	il giudizio di Paride (senza Mercurio)
71I32	il giudizio di Salomone (1 Re 3, 16-28)
71A7	il lavoro di Adamo ed Eva; infanzia di Caino e Abele
71X1	il libro dei Salmi
71O9	il libro di Ezechiele
71W	il libro di Giobbe
71V	il libro di Giona
71E5	il libro di Giosuè (Giosuè)
71U	il libro di Giuditta
71O3	il libro di Isaia
71O4	il libro di Michea
71T	il libro di Tobia
11Q71	il luogo del culto e il suo strumenti ~ Chiese cristiane
